,capacity_policy,minfood_access_policy,maxfood_access_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0
1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,6.4
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,6.8
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,7.2
4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,7.6
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,8.0
6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,8.4
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,8.8
8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,9.2
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,9.6
10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,10.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,10.4
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,10.8
13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,11.2
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,11.4
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,11.8
16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,6.0
17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,6.4
18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,6.8
19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,7.2
20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,7.6
21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,8.0
22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,8.4
23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,8.8
24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,9.2
25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,9.6
26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,10.0
27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,10.4
28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,10.8
29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,11.2
30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,11.4
31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,11.8
32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0
33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,6.4
34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,6.8
35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,7.2
36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,7.6
37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,8.0
38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,8.4
39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,8.8
40,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,9.2
41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,9.6
42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,10.0
43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,10.4
44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,10.8
45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,11.2
46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,11.4
47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,11.8
