,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
27,1.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.1,6.0,20.0
28,2.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
29,2.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.1,6.0,20.0
30,0.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
31,0.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
32,1.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
33,1.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
34,2.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
35,2.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
36,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
37,0.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
38,1.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
39,1.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
40,2.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
41,2.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
42,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
43,0.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
44,1.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
45,1.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
46,2.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
47,2.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
48,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
49,0.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
50,1.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
51,1.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
52,2.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
53,2.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
54,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,7.8,20.0
55,0.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,1.0,7.8,20.0
56,1.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,7.8,20.0
57,1.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,1.0,7.8,20.0
58,2.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,7.8,20.0
59,2.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,1.0,7.8,20.0
60,0.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,0.1,6.0,20.0
61,0.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,0.1,6.0,20.0
62,1.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,0.1,6.0,20.0
63,1.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,0.1,6.0,20.0
64,2.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,0.1,6.0,20.0
65,2.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,0.1,6.0,20.0
66,0.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,20.0
67,0.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,1.0,6.0,20.0
68,1.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,20.0
69,1.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,1.0,6.0,20.0
70,2.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,20.0
71,2.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,1.0,6.0,20.0
72,0.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
73,0.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.1,6.0,20.0
74,1.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
75,1.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.1,6.0,20.0
76,2.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
77,2.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.1,6.0,20.0
