,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
23,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
24,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
25,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
26,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
27,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
28,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
29,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
30,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
31,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
32,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
33,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
34,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
35,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
36,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
37,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
38,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
39,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
40,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
41,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
42,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
43,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
44,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
45,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
46,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
47,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
48,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
49,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
50,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
51,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
52,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
53,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
54,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
55,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
56,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
57,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
58,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
59,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
60,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
61,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
62,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
63,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
64,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
65,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
66,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
67,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
68,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
69,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
70,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
71,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
72,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
73,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
74,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
75,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
76,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
77,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
78,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
79,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
80,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
81,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
82,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
